timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645677613198,1206,40 login,200,,jp@gc - Stepping Thread Group 1-50,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,80,80,https://petstore.octoperf.com/actions/Account.action,1206,0,738
1645677609970,1502,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-41,,true,,5021,875,80,80,null,0,3010,0
1645677612981,1502,42 log out,200,,jp@gc - Stepping Thread Group 1-41,text,true,,5021,875,80,80,https://petstore.octoperf.com/actions/Catalog.action,1273,0,799
1645677610289,1196,40 login,200,"Number of samples in transaction : 1, number of failing samples : 1",jp@gc - Stepping Thread Group 1-19,,false,,3929,781,80,80,null,0,3000,0
1645677613290,1196,40 login,200,,jp@gc - Stepping Thread Group 1-19,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,80,80,https://petstore.octoperf.com/actions/Account.action,1196,0,742
1645677610196,1427,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-23,,true,,5021,875,80,80,null,0,3001,0
1645677613198,1427,42 log out,200,,jp@gc - Stepping Thread Group 1-23,text,true,,5021,875,80,80,https://petstore.octoperf.com/actions/Catalog.action,1205,0,735
1645677610400,1219,40 login,200,"Number of samples in transaction : 1, number of failing samples : 1",jp@gc - Stepping Thread Group 1-69,,false,,3929,781,80,80,null,0,3011,0
1645677613412,1219,40 login,200,,jp@gc - Stepping Thread Group 1-69,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,80,80,https://petstore.octoperf.com/actions/Account.action,1219,0,761
1645677610418,1242,40 login,200,"Number of samples in transaction : 1, number of failing samples : 1",jp@gc - Stepping Thread Group 1-9,,false,,3927,781,80,80,null,0,3009,0
1645677613428,1242,40 login,200,,jp@gc - Stepping Thread Group 1-9,text,false,Test failed: text expected not to contain /Signon failed/,3927,781,80,80,https://petstore.octoperf.com/actions/Account.action,1242,0,770
1645677610487,1217,40 login,200,"Number of samples in transaction : 1, number of failing samples : 1",jp@gc - Stepping Thread Group 1-66,,false,,3931,781,80,80,null,0,3003,0
1645677613491,1217,40 login,200,,jp@gc - Stepping Thread Group 1-66,text,false,Test failed: text expected not to contain /Signon failed/,3931,781,80,80,https://petstore.octoperf.com/actions/Account.action,1217,0,763
1645677610477,1236,40 login,200,"Number of samples in transaction : 1, number of failing samples : 1",jp@gc - Stepping Thread Group 1-79,,false,,3927,781,80,80,null,0,3014,0
1645677613491,1236,40 login,200,,jp@gc - Stepping Thread Group 1-79,text,false,Test failed: text expected not to contain /Signon failed/,3927,781,80,80,https://petstore.octoperf.com/actions/Account.action,1236,0,763
1645677610579,1198,40 login,200,"Number of samples in transaction : 1, number of failing samples : 1",jp@gc - Stepping Thread Group 1-60,,false,,3929,781,80,80,null,0,3004,0
1645677613584,1198,40 login,200,,jp@gc - Stepping Thread Group 1-60,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,80,80,https://petstore.octoperf.com/actions/Account.action,1198,0,748
1645677610362,1494,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-42,,true,,5021,875,80,80,null,0,3004,0
1645677613367,1494,42 log out,200,,jp@gc - Stepping Thread Group 1-42,text,true,,5021,875,80,80,https://petstore.octoperf.com/actions/Catalog.action,1255,0,767
1645677610640,1447,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-52,,true,,5021,875,80,80,null,0,3006,0
1645677613647,1447,42 log out,200,,jp@gc - Stepping Thread Group 1-52,text,true,,5021,875,80,80,https://petstore.octoperf.com/actions/Catalog.action,1214,0,757
